miRNA	Gene	Input
gga-miR-190a-3p	SLC13A4	-1
gga-miR-190a-3p	VMO1	-1
gga-miR-190a-3p	DMAP1	-1
gga-miR-190a-3p	SPRY1	-1
gga-miR-190a-3p	CABLES2	-1
gga-miR-190a-3p	BCL9L	-1
gga-miR-190a-3p	SLITRK6	-1
gga-miR-190a-3p	TMEM178B	-1
gga-miR-190a-3p	F2RL1	-1
gga-miR-190a-3p	KRAS	-1
gga-miR-190a-3p	TAF4B	-1
gga-miR-190a-3p	CNKSR2	-1
gga-miR-190a-3p	GPRC5B	-1
gga-miR-190a-3p	DLG3	-1
gga-miR-190a-3p	SYT11	-1
gga-miR-190a-3p	NAA15	-1
gga-miR-190a-3p	ZNF608	-1
gga-miR-190a-3p	CLIP4	-1
gga-miR-190a-3p	ZNF236	-1
gga-miR-190a-3p	NTAN1	-1
gga-miR-190a-3p	SULT1C3	-1
gga-miR-190a-3p	ABHD2	-1
gga-miR-190a-3p	METRN	-1
gga-miR-190a-3p	XKR6	-1
gga-miR-190a-3p	SSBP2	-1
gga-miR-190a-3p	ADAM23	-1
gga-miR-190a-3p	CYP26B1	-1
gga-miR-190a-3p	SH3BGR	-1
gga-miR-190a-3p	TSNARE1	-1
gga-miR-190a-3p	SGCB	-1
gga-miR-190a-3p	ADAM11	-1
gga-miR-190a-3p	USP12-like	-1
gga-miR-190a-3p	ELMSAN1	-1
gga-miR-190a-3p	STK39	-1
gga-miR-190a-3p	MMGT1	-1
gga-miR-190a-3p	SLC4A10	-1
gga-miR-190a-3p	PPP3R1	-1
gga-miR-190a-3p	NTM	-1
gga-miR-190a-3p	KLF15	-1
gga-miR-190a-3p	YTHDF1	-1
gga-miR-190a-3p	PRKCD	-1
gga-miR-190a-3p	CPSF6	-1
gga-miR-190a-3p	RPS6KA2	-1
gga-miR-190a-3p	MANEA	-1
gga-miR-190a-3p	GSK3A	-1
gga-miR-190a-3p	METTL4	-1
gga-miR-190a-3p	HLF	-1
gga-miR-190a-3p	KLHL4	-1
gga-miR-190a-3p	PLEKHA6	-1
gga-miR-190a-3p	GZF1	-1
gga-miR-190a-3p	CHSY1	-1
gga-miR-190a-3p	BNC2	-1
gga-miR-190a-3p	ATRN	-1
gga-miR-190a-3p	SYNE3	-1
gga-miR-190a-3p	PRKAR2B	-1
gga-miR-190a-3p	SNTG1	-1
gga-miR-190a-3p	CBX8	-1
gga-miR-190a-3p	EGLN3	-1
gga-miR-190a-3p	TAF5	-1
gga-miR-190a-3p	SYNGR1	-1
gga-miR-190a-3p	REL	-1
gga-miR-190a-3p	TRMT61B	-1
gga-miR-190a-3p	HUS1	-1
gga-miR-190a-3p	ACTA2	-1
gga-miR-190a-3p	INO80D	-1
gga-miR-190a-3p	KBTBD3	-1
gga-miR-190a-3p	RPH3A	-1
gga-miR-190a-3p	SLC6A6	-1
gga-miR-190a-3p	SFMBT1	-1
gga-miR-190a-3p	KANK3	-1
gga-miR-190a-3p	CDPF1	-1
gga-miR-190a-3p	ATXN1L	-1
gga-miR-190a-3p	SRGAP2	-1
gga-miR-190a-3p	BTBD19	-1
gga-miR-190a-3p	FRMPD4	-1
gga-miR-190a-3p	AQP3	-1
gga-miR-190a-3p	PALM2AKAP2	-1
gga-miR-190a-3p	GJC2	-1
gga-miR-190a-3p	RIPPLY2	-1
gga-miR-190a-3p	LOC107055396	-1
gga-miR-190a-3p	NKD1	-1
gga-miR-190a-3p	SNAP25	-1
gga-miR-190a-3p	TAAR1	-1
gga-miR-190a-3p	FGFRL1	-1
gga-miR-190a-3p	CCSER1	-1
gga-miR-190a-3p	POU3F3	-1
gga-miR-190a-3p	ATRX	-1
gga-miR-190a-3p	KIT	-1
gga-miR-190a-3p	ARPC5L	-1
gga-miR-190a-3p	SLC44A1	-1
gga-miR-190a-3p	TMEM164	-1
gga-miR-190a-3p	RHAG	-1
gga-miR-190a-3p	USP3	-1
gga-miR-190a-3p	PRKX	-1
gga-miR-190a-3p	SLC6A17	-1
gga-miR-190a-3p	XPOT	-1
gga-miR-190a-3p	CALN1	-1
gga-miR-190a-3p	SFXN5	-1
gga-miR-190a-3p	TRPM6	-1
gga-miR-190a-3p	ZNF384	-1
gga-miR-190a-3p	DPT	-1
gga-miR-190a-3p	RNPEPL1	-1
